Address,Rule Name,Level,Title 1,Meta Description 1,H1-1,Canonical Link Element 1,Rule Number
https://www.wcag.com/,,,Web Content Accessibility Guidelines (WCAG) 💥,"WCAG.com has everything you need to know about Web Content Accessibility Guidelines (WCAG). Get the most current, accurate, & critical info in one place",Your central source for information and resources on digital accessibility and WCAG conformance,https://www.wcag.com/,
https://www.wcag.com/authors/,,,Web Content Accessibility Guideline: Resources for Authors | WCAG,We explore how the Web Content Accessibility Guidelines (WCAG) impact content writing and content authors. Everything you need to know to make your web experience accessible.,Accessibility in Writing,https://www.wcag.com/authors/,
https://www.wcag.com/authors/1-1-1-non-text-content/,Non-text Content,Level A,1.1.1 Non-text Content (Level A),Plain language explanation of WCAG success criterion 1.1.1. Make sure images and other non-text elements on your website are accessible by including meaningful text alternatives (alt text).,1.1.1 Non-text Content (Level A),https://www.wcag.com/authors/1-1-1-non-text-content/,1.1.1
https://www.wcag.com/authors/1-2-2-captions-prerecorded/,Captions - Prerecorded,,1.2.2 Captions - Prerecorded | WCAG,What you need to know about WCAG success criteria 1.2.2 Captions. Make your digital content accessible for individuals with disabilities.,1.2.2 Captions – Prerecorded (Level A),https://www.wcag.com/authors/1-2-2-captions-prerecorded/,1.2.2
https://www.wcag.com/authors/1-2-3-audio-description-or-media-alternative-prerecorded/,,,Audio Description or Media Alternative | WCAG,What you need to know about WCAG success criteria 1.2.3 Audio Description or Media Alternative (Prerecorded). Make your digital content accessible for individuals with disabilities.,1.2.3 Audio Description or Media Alternative – Prerecorded (Level A),https://www.wcag.com/authors/1-2-3-audio-description-or-media-alternative-prerecorded/,
https://www.wcag.com/authors/1-2-4-captions-live/,Captions - Live,Level A,1.2.4 Captions - Live (Level A),What you need to know about WCAG success criteria 1.2.4 Captions (Live). Make your digital content accessible for individuals with disabilities.,1.2.4 Captions – Live (Level A),https://www.wcag.com/authors/1-2-4-captions-live/,1.2.4
https://www.wcag.com/authors/1-2-5-audio-description-prerecorded/,Audio Description - Prerecorded,Level A,1.2.5 Audio Description - Prerecorded (Level A),What you need to know about WCAG success criteria 1.2.5 Audio Description (Prerecorded). Make your digital content accessible for individuals with disabilities.,1.2.5 Audio Description – Prerecorded (Level A),https://www.wcag.com/authors/1-2-5-audio-description-prerecorded/,1.2.5
https://www.wcag.com/authors/1-4-13-content-on-hover-or-focus/,,,WCAG 1.4.13: Creating Accessible Pop-ups and Tooltips,WCAG 1.4.13 Content on Hover or Focus (Level AA) improves the accessibility of pop-ups and tooltips. Discover best practices for meeting this success criterion.,1.4.13 Content on Hover or Focus (Level AA),https://www.wcag.com/authors/1-4-13-content-on-hover-or-focus/,1.4.1
https://www.wcag.com/authors/2-4-2-page-titled/,Page Titled,Level A,2.4.2 Page Titled (Level A),What you need to know about WCAG success criteria 2.4.2 Page Titled. Make your digital content accessible for individuals with disabilities.,2.4.2 Page Titled (Level A),https://www.wcag.com/authors/2-4-2-page-titled/,2.4.2
https://www.wcag.com/authors/2-4-6-headings-and-labels/,Headings and Labels,Level AA,2.4.6 Headings and Labels (Level AA),What you need to know about WCAG success criteria 2.4.6 Headings and Labels. Make your digital content accessible for individuals with disabilities.,2.4.6 Headings and Labels (Level AA),https://www.wcag.com/authors/2-4-6-headings-and-labels/,2.4.6
https://www.wcag.com/authors/2-5-3-label-in-name/,,,WCAG 2.5.3: Improve Accessibility with Label in Name,Ensure WCAG 2.5.3 Label in Name compliance. Discover how to create matching visual and code labels for better accessibility.,2.5.3 Label in Name (Level A),https://www.wcag.com/authors/2-5-3-label-in-name/,2.5.3
https://www.wcag.com/authors/3-2-4-consistent-identification/,,,WCAG 3.2.4: Ensuring Consistent Identification of Elements,WCAG 3.2.4 Consistent Identification (Level AA) supports clear and intuitive navigation. Discover best practices for providing a consistent web experience.,3.2.4 Consistent Identification (Level AA),https://www.wcag.com/authors/3-2-4-consistent-identification/,3.2.4
https://www.wcag.com/blog/,,,Web Content Accessibility Guidelines: Blog | WCAG,,Blog,https://www.wcag.com/blog/,
